﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja aparatów, maszyn i urządzeń do procesów chemicznych;t;.;.;.;4000;6790;10 476;19 856;25 901;30 901;27 474;27 506;29 139;31 475;24 046;29 116;34 133;34 935;43 521;47 415;57 255;51 035;54 248;57 766;62 143;70 971;77 217;90 057;86 807;87 563;87 685;87 081;83 302;78 130;78 379;74 215;60 057;52 380;45 440;61 621;54 334;40 764;36 547;31 260;23 703;21 461;20 049;14 886;10 904;12 351;16 966;23 499;20 353;21 393;14 896
Produkcja maszyn i urządzeń specjalnych do przetwórstwa tworzyw sztucznych;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;878;1316;1333;1550;1209;948;1165;1436;1546;2178;2769;2912;3434;3619;3976;4780;5262;4415;4978;4602;4278;3158;3806;3683;4491;4547;4493;4797;5022;4623;3933;1768;868;1162;971;1194;1312;1093;1203;1022
Produkcja pras do przetwórstwa tworzyw sztucznych;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;323;401;473;543;381;391;440;390;379;480;582;580;511;521;434;350;333;298;391;468;489;530;568;525;428;41;6;14;13;15;7;1;8;7
Produkcja maszyn i urządzeń do przerobu minerałów i produkcji materiałów budowlanych;t;.;.;.;.;2051;.;.;.;.;.;.;.;.;.;24 081;25 857;25 029;25 996;21 771;17 978;15 613;21 939;28 218;31 839;42 691;36 957;40 549;44 151;47 368;55 151;63 497;66 678;61 749;47 062;45 079;30 850;21 516;19 533;20 881;21 953;26 983;24 508;23 545;24 008;13 669;6757;3302;2768;2090;2755;2879;4582;2991;3364
Produkcja maszyn i urządzeń przemysłu włókienniczego (bez dziewiarskiego);t;1180;2651;3886;3360;5152;3476;2984;3675;5595;5998;4668;5572;6814;7978;10 301;10 724;12 596;13 982;15 591;17 037;14 886;15 922;16 274;17 383;18 623;20 143;22 350;24 307;26 009;26 986;25 560;23 262;23 118;22 137;19 420;15 558;12 815;13 391;12 415;13 418;11 840;12 342;12 663;12 355;9180;1626;1624;625;979;882;918;859;746;552
Produkcja przędzarek;szt.;22;21;35;57;40;10;5;20;5;12;17;11;11;34;74;120;99;127;210;320;412;254;399;406;357;396;411;494;500;606;524;513;597;508;231;144;144;135;113;122;134;144;138;178;91;19;15;3;2;—;—;5;—;—
Produkcja przędzarek wrzecionowych;wrzec.;5740;6700;13 320;22 800;15 920;4000;300;7040;2000;4800;5920;4384;4360;12 428;21 220;40 728;28 548;37 382;64 325;103 268;136 284;79 495;142 304;148 958;129 780;144 656;141 842;171 968;184 970;230 102;184 689;189 998;209 106;183 538;84 444;47 950;47 570;43 380;36 778;44 052;49 780;52 000;58 947;75 712;37 740;7412;5204;724;640;—;—;1574;—;—
Produkcja maszyn i urządzeń do wytwarzania wyrobów tkanych;szt.;98;462;622;552;1020;1035;1;376;758;1559;1196;1056;1001;1514;3275;2363;2473;3032;3207;3251;2857;3009;1929;1886;2258;2932;3285;3119;2791;2712;2530;1699;1080;992;906;716;673;518;448;529;386;502;560;514;207;36;49;2;—;—;—;—;—;—
krosien;szt.;98;462;622;552;1020;1035;1;376;758;1559;1196;997;879;1446;1997;1559;1826;2443;2874;2723;2436;2428;1647;1699;2005;2412;2687;2599;2273;2270;2292;1654;964;678;622;539;478;436;308;329;310;353;380;449;141;16;32;2;—;—;—;—;—;—
pozostałych;szt.;—;—;—;—;—;—;—;—;—;—;—;59;122;68;1278;804;647;589;333;528;421;581;282;187;253;520;598;520;518;442;238;45;116;314;284;177;195;82;140;200;76;149;180;65;66;20;17;—;—;—;—;—;—;—
