﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja akumulatorów elektrycznych;t;861;1879;3662;3090;3704;5955;7232;7642;8740;9490;9820;12 600;12 872;14 720;18 105;19 771;21 885;25 085;25 249;26 197;28 888;30 953;33 383;34 687;36 670;40 039;44 466;54 322;58 525;61 133;57 881;62 001;82 561;69 922;58 354;59 759;55 932;61 779;69 667;68 569;72 882;58 962;54 718;50 825;40 835;35 876;32 778;33 501;35 428;39 176;36 168;39 905;40 591;45 187
Produkcja aparatów telefonicznych;tys. szt.;1;32;69;56;29;51;74;112;124;141;135;110;133;96;116;240;285;322;424;493;473;590;632;604;635;714;795;856;937;1136;1277;1397;1467;1476;1520;1443;1502;1477;1542;1702;1916;2009;2110;2036;1589;993;349;297;428;409;626;654;691;505
Produkcja central i urządzeń telegraficznych;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4045;2168;3641;4576;5047;7742;9495;7259;9339;5856;6593;5130;3481;3310;905;221;158;92;167;122;505;936;259;229;99;10;—;—;510;350
Produkcja odbiorników radiofonicznych (łącznie z zestawami);tys. szt.;—;7;34;66;116;156;213;268;308;461;499;646;790;749;627;589;654;487;513;624;623;612;787;892;987;892;982;1150;1422;1651;2038;2291;2569;2661;2695;2797;2175;2134;2418;2690;2729;2833;2684;2523;1433;589;334;329;309;225;206;143;154;137,8
odbiorników radiowych przenośnych;tys. szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;35;48;65;89;122;163;258;254;380;442;448;396;539;538;549;677;743;910;1065;1038;993;893;638;658;747;830;941;1066;956;785;391;165;98;66;86;69;56;24;1;11,5
pozostałych;tys. szt.;—;7;34;66;116;156;213;268;308;461;499;646;790;749;592;541;589;398;391;461;365;358;407;450;539;496;443;612;873;974;1295;1381;1504;1623;1702;1904;1537;1476;1671;1860;1788;1767;1728;1738;1042;424;236;263;223;156;150;119;153;126,3
Produkcja odbiorników telewizyjnych;szt.;—;—;—;—;—;—;—;—;—;—;2229;16 000;57 133;117 249;171 361;230 812;298 964;365 389;413 629;451 737;412 104;495 056;559 509;599 862;615 927;630 497;730 001;795 627;895 347;971 302;962 926;920 300;971 857;915 145;899 772;764 447;576 036;565 881;587 146;609 712;630 542;647 306;749 090;771 625;747 957;438 099;652 119;855 314;887 537;1 138 164;1 615 051;3 019 958;4 436 069;5 121 144
z ekranem odbioru czarno-białego (łącznie z przenośnymi - turystycznymi) i monitorami telewizyjnymi;szt.;—;—;—;—;—;—;—;—;—;—;2229;16 000;57 133;117 249;171 361;230 812;298 964;365 389;413 629;451 737;412 104;495 056;559 509;599 862;615 927;630 497;730 001;795 627;871 862;942 882;919 699;862 161;911 265;826 076;752 899;605 027;431 789;385 027;363 494;452 016;461 441;436 704;534 264;534 479;409 954;134 226;32 901;13 866;6041;1839;314;—;—;.
odbiorników i monitoro-odbiorników z ekranem - do odbioru kolorowego;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;23 485;28 420;43 227;58 139;60 592;89 069;146 873;159 420;144 247;180 854;223 652;157 696;169 101;210 602;214 826;237 146;338 003;303 873;619 218;841 448;881 496;1 136 325;1 614 737;3 019 958;4 436 069;5 121 144
Produkcja magnetofonów i dyktafonów powszechnego użytku;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;6700;23 000;24 800;4900;15 200;23 900;29 400;38 900;50 100;130 000;183 727;306 642;371 627;510 105;602 244;735 138;768 666;801 715;911 706;849 039;805 505;567 785;372 781;399 838;430 237;384 193;405 228;360 538;356 759;438 284;298 876;107 751;58 877;22 230;14 259;12 078;13 799;17 408;14 527;2892
Produkcja żarówek i innych elektrycznych źródeł światła;tys. szt.;7500;10 900;21 700;29 200;34 300;32 000;22 300;32 400;37 000;49 579;58 989;64 932;70 979;79 407;88 095;107 000;124 000;138 000;157 000;182 000;208 000;220 000;249 000;276 000;311 668;306 324;330 024;360 978;398 044;397 161;386 988;397 271;438 073;463 247;468 987;427 106;388 724;388 068;381 447;403 912;419 696;430 893;463 753;449 662;451 875;389 690;345 794;356 374;434 933;486 198;517 029;521 549;601 815;462 803
żarówek oświetleniowych (głównego szeregu);tys. szt.;4694;7616;15 160;21 857;25 960;16 754;11 030;19 374;19 702;25 559;30 619;32 706;34 229;39 986;48 661;54 400;67 300;75 100;83 100;88 800;98 800;102 000;113 000;129 000;142 189;152 207;160 618;169 964;182 039;149 349;117 715;128 720;134 987;147 995;154 103;152 491;154 332;152 538;157 694;168 742;170 982;168 801;183 381;182 723;213 377;208 731;200 825;216 083;245 620;276 944;309 196;347 982;401 753;282 090
pozostałych;tys. szt.;2806;3284;6540;7343;8340;15 246;11 270;13 026;17 298;24 020;28 370;32 226;36 750;39 421;39 434;52 600;56 700;62 900;73 900;93 200;109 200;118 000;136 000;147 000;169 479;154 117;169 406;191 014;216 005;247 812;269 273;268 551;303 086;315 252;314 884;274 615;234 392;235 530;223 753;235 170;248 714;262 092;280 372;266 939;238 498;180 959;144 969;140 291;189 313;209 254;207 833;173 567;200 062;180 713
Produkcja lamp elektronowych;tys. szt.;—;—;91;266;692;944;557;1208;1851;2626;3523;4390;5992;6734;7438;9413;12 806;15 054;18 933;20 990;21 883;23 861;24 818;24 288;26 676;29 054;29 448;26 686;25 879;26 162;22 703;19 800;17 442;14 860;10 736;8685;7417;7823;6715;5489;5245;4890;5428;4602;1842;207;736;1812;2401;2988;2995;3417;3905;4294
Produkcja przyrządów półprzewodnikowych;tys. szt.;—;—;—;—;—;—;—;—;—;—;—;—;1200;1600;2600;3700;5200;6600;6700;7800;9800;11 300;16 500;19 200;26 502;32 413;38 842;59 341;101 956;113 976;148 854;178 943;213 048;230 618;262 205;188 183;179 299;192 440;244 522;289 138;306 803;322 551;367 554;372 930;207 934;79 380;41 579;24 802;9873;8265;8180;6503;2394;1321
tranzystorów;tys. szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;100;500;1000;1400;1400;2600;3600;4300;5500;7800;10 639;12 394;17 311;25 816;47 104;56 105;60 197;66 507;76 712;84 642;87 497;84 804;74 249;76 344;96 415;105 221;111 514;115 676;128 404;118 712;67 304;24 010;15 720;13 896;7966;5253;3718;2575;249;—
układów scalonych;tys. szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;9607;14 264;19 654;21 819;24 694;28 272;22 776;21 568;27 532;32 191;35 325;43 910;50 808;60 320;62 641;32 072;13 000;6228;4906;348;744;3464;2727;1266;1083
pozostałych;tys. szt.;—;—;—;—;—;—;—;—;—;—;—;—;1200;1600;2500;3200;4200;5200;5300;5200;6200;7000;11 000;11 400;15 863;20 019;21 531;33 525;54 852;48 264;74 393;92 782;114 517;121 282;146 436;80 603;83 482;88 564;115 916;148 592;151 379;156 067;178 830;191 577;108 558;42 370;19 631;6000;1559;2268;998;1201;879;238
Produkcja rezystorów stałych;mln szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;53;61;70;81;84;108;125;123;138;164;190;235;258;316;353;491;498;506;513;519;518;399;325;377;434;563;683;747;900;1035;763;206;166;4,4;3,5;2,6;2,3;29,4;25,6;19,8
Produkcja kondensatorów;mln szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;50;56;63;70;78;88;118;120;125;154;265;286;305;391;514;600;564;578;651;708;703;572;532;536;591;723;825;782;749;815;540;231;161;154;133;85;40;20;19;14
