﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja masła;t;5229;17 000;17 700;22 828;32 174;46 273;52 055;54 213;59 931;61 585;62 668;80 707;90 694;95 033;95 954;96 103;92 127;82 146;88 289;104 837;119 166;120 391;125 109;118 893;127 490;128 046;162 222;181 566;198 842;192 870;216 948;244 001;258 046;252 331;252 862;221 805;224 695;261 138;289 402;275 436;259 832;264 443;266 847;290 202;271 576;191 643;155 078;146 365;119 787;122 323;131 736;139 034;145 997;134 612
Przemiał zbóż;tys. t;2918;2745;3342,5;4118,2;4960;4481,4;4974,8;4967;5003;5437;5768,3;5850,7;5846,2;6006;6360,2;6653,9;6159,8;6230,2;6247,3;6578,2;6393,9;6199,2;6288,4;6295,7;6414,1;6363,9;6724;7108,5;7602,2;7633,6;7885,4;7636,8;8309;8080,2;7721,4;7361,5;6284,7;6115,6;6534,3;6428,4;5814,8;5763,3;6203,2;5952,3;3845,2;3675,5;3280;2819,2;2772,1;2940,7;3012,4;3162,4;3015,9;3135,1
pszenicy;tys. t;699;659;854,5;1207,3;1094,4;1302;1351,1;1330,1;1552,5;1670,4;1808;2186,2;2416,9;2445,3;2621,3;2553,6;2446,6;2799,9;3115;3037,5;2926,1;2873,3;3044,4;3059,7;3079,9;3314,1;3372,7;3613,9;3780,3;3845,3;4066,4;4021,3;4125,4;4067,6;4089;4217,5;4163;3756,8;3309,9;3438,7;3550,1;4002,9;4276,7;4130,8;2684,2;2684,9;2459,4;2182,3;2224,4;2404,1;2384,7;2569,1;2460,2;2654,6
żyta;tys. t;1851;1598;1960,4;2421,2;3165,6;2563,3;2764;2918,3;2842,8;3185,8;3282;2945,2;2615,8;2597,8;2707,8;3155,4;2673,8;2209,6;1901,9;1894,1;2235,7;2256,3;2074,2;2142,1;2145,8;1844,6;1919,1;2043,7;1882,4;1839,9;1688,9;1629,2;1637,3;1678,5;1399,3;1499,3;1209,3;1527,7;2539,6;2338,6;1678,8;1223,5;1321,7;1077,6;908,9;759,1;662;489,8;403,7;387,8;428,2;402,2;358,1;363
pozostałych;tys. t;368;488;527,6;489,7;700;616,1;859,7;718,6;607,7;580,8;678,3;719,3;813,5;962,9;1031,1;944,9;1039,4;1220,7;1230,4;1646,6;1232,1;1069,6;1169,8;1093,9;1188,4;1205,2;1432,2;1450,9;1939,5;1948,4;2130,1;1986,3;2546,3;2334,1;2233,1;1644,7;912,4;831,1;684,8;651,1;585,9;536,9;604,8;743,9;252,1;231,5;158,6;147,1;144;148,8;199,5;191,1;197,6;117,5
Produkcja makaronu;t;4800;9900;11 800;20 325;21 712;26 180;32 694;31 506;29 409;35 057;36 719;33 421;37 772;42 852;47 230;48 171;56 515;61 721;51 695;50 597;54 741;59 265;62 610;61 256;57 847;55 367;64 305;64 803;67 058;69 924;81 409;73 423;86 831;90 117;95 121;101 455;94 655;78 111;86 479;83 147;80 846;85 834;92 368;97 166;65 458;65 712;69 547;60 049;67 611;74 010;105 147;112 328;119 136;108 685
Produkcja pieczywa (bez cukierniczego);tys. t;.;.;.;.;.;.;.;.;2184;2292,3;2284,4;2161,6;2193,1;2280,2;2448,5;2545;2633,2;2722,4;2753,7;2826,8;2822,8;2939,6;2979,9;3018,2;3102;3162,5;3185,2;3175,9;3215,1;3231,3;3394,2;3326,8;3441,6;3424,8;3522,5;3831,8;3861,6;3729,4;3734,7;3618,4;3628,8;3642,1;3613,9;3638,7;3129,1;2775;2633,6;2707,3;2750,3;2750,4;2915,2;3193,9;3449,4;3673,5
Produkcja cukru z buraków w przeliczeniu na cukier biały w roku kalendarzowym;tys. t;387;493;627;745;955;858;826;1107;1035;977;776;1064;1095;897;1365;1355,2;1338,5;1214,7;1587,5;1385,1;1530,2;1676,7;1664,8;1550,6;1387,6;1585,1;1660,4;1639,4;1466,7;1708,1;1630,8;1668,1;1605;1586,2;1067,2;1684,7;1792,8;1982;1766,6;1708,5;1753;1671;1684;1709,6;1970,9;1636;1467,8;1982,2;1383,2;1595,1;2219,6;2145;2101,5;1821,4
Produkcja cukru z buraków w przeliczeniu na cukier biały w okresie kampanii;tys. t;386,5;495,9;624,4;745,3;955,4;858;825,8;1107,1;1035,5;980,5;777,3;1059,3;1095,4;895,7;1381,1;1508;1222,4;1309,8;1653,9;1354,4;1549,2;1760,2;1569,4;1404,9;1384,6;1575,4;1683,4;1671,8;1431,7;1745,5;1657;1700,1;1622;1454,7;1043,4;1722,8;1850,8;1970,2;1728,2;1666,3;1740,2;1677,1;1678,5;1715,7;1950,6;1550,6;1467,2;2012,5;.;.;.;.;.;.
Produkcja spirytusów w przeliczeniu na surowy 100 stopni;tys. l;39 200;66 900;112 000;91 600;90 000;155 000;163 000;141 000;158 000;135 000;96 400;128 000;137 000;154 000;148 160;171 500;189 300;185 600;217 300;207 900;188 600;197 700;206 000;189 000;189 775;185 080;181 037;228 466;249 655;226 490;262 275;329 669;323 461;326 558;270 337;274 740;234 632;265 826;220 225;267 989;291 344;237 329;260 014;268 717;230 378;176 596;103 640;125 624;133 592;132 583;146 968;133 471;112 612;90 681
Produkcja wyrobów spirytusowych czystych w przeliczeniu na 100 stopni;tys. l;34 400;53 000;55 800;43 300;53 900;53 400;50 400;51 000;51 100;52 100;54 700;68 400;63 400;63 800;65 900;66 500;65 900;68 900;66 200;71 100;74 700;79 600;84 600;90 200;86 745;92 943;99 415;103 533;101 632;115 565;132 015;150 190;145 844;148 195;155 988;76 439;108 180;111 542;117 249;113 957;123 253;109 006;108 318;100 329;87 377;73 666;72 045;86 244;108 600;118 346;96 752;90 230;78 947;73 885
Produkcja wódek gatunkowych w przeliczeniu na 100 stopni;tys. l;690;1590;871;1343;3144;4357;5588;5352;9583;10 917;9620;12 034;10 040;10 499;7812;6828;8153;10 361;10 486;12 409;15 300;18 500;23 000;27 500;23 602;25 406;30 987;40 750;42 356;50 239;58 263;65 802;61 309;54 707;56 100;85 079;49 459;49 129;48 068;65 575;63 848;64 190;63 932;74 089;63 628;72 022;63 609;62 678;47 863;35 599;25 505;20 031;14 638;11 771
Produkcja drożdży piekarskich;t;5261;6594;7344;8649;8930;10 462;11 431;12 130;13 817;15 043;16 838;17 238;17 730;17 837;17 516;18 124;19 691;21 907;24 212;26 070;26 628;26 975;28 412;28 687;30 795;32 997;33 617;34 763;36 941;38 791;41 593;38 246;40 621;45 301;46 128;29 893;53 633;53 048;52 443;50 301;48 216;50 166;50 287;47 693;43 416;41 591;46 786;49 772;53 166;54 745;56 633;67 550;70 178;68 527
Produkcja mączki ziemniaczanej (z budyniową);t;11 200;10 700;43 800;41 700;57 300;68 600;36 100;68 300;95 600;88 088;76 732;85 488;85 177;105 229;104 111;103 978;114 677;98 174;145 715;145 239;146 323;153 541;149 777;82 240;136 840;62 828;34 310;131 280;160 850;118 415;125 459;114 298;112 282;153 835;39 200;106 066;46 597;136 055;146 374;147 932;145 037;103 016;127 923;143 307;146 305;59 009;62 273;76 792;49 447;78 334;135 796;74 691;127 115;69 833
Produkcja marmolady, powideł i dżemów;t;.;.;.;15 650;14 041;24 043;24 437;31 266;31 810;41 084;47 790;46 437;45 576;45 910;47 362;47 792;51 921;65 441;66 681;60 250;58 674;55 186;57 576;57 591;59 464;65 357;67 561;68 916;76 856;73 525;79 874;80 962;90 427;87 276;94 197;94 944;98 232;74 012;81 295;78 883;73 135;91 863;94 717;83 934;52 058;42 980;42 954;46 787;51 794;57 184;65 102;60 928;55 652;75 281
Produkcja kompotów i owoców pasteryzowanych;t;.;.;.;1436;1004;1774;1490;1927;3592;4704;8270;11 140;18 869;18 293;20 670;14 786;9237;17 098;18 557;25 816;27 624;23 771;34 270;35 928;31 528;33 910;35 043;36 847;62 058;39 335;81 416;40 291;51 383;40 264;59 166;32 380;49 586;44 296;51 690;56 846;42 595;36 317;44 848;47 950;34 626;35 579;13 658;9667;5139;6987;13 699;6995;7364;5826
Produkcja owoców mrożonych;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7651;7176;5862;11 150;12 279;13 631;24 886;23 034;28 599;23 949;30 830;32 639;40 450;55 893;62 029;69 404;92 674;88 345;97 997;92 542;85 655;86 320;90 607;115 297;120 461;144 350;132 618;119 899;128 638;147 379;145 551;212 776;232 225;188 827;187 601;179 451;217 823;239 702;224 506;280 414
Produkcja konserw warzywnych;t;.;239;677;768;541;1188;1273;1672;2272;6081;6700;5459;8589;11 073;13 766;15 746;21 106;18 857;17 832;19 775;21 164;25 390;23 471;25 610;31 773;29 994;37 282;41 176;31 143;36 032;40 175;46 187;62 645;58 695;44 902;57 790;45 348;48 859;52 791;59 803;64 421;65 865;58 042;53 696;57 747;44 564;22 114;38 553;31 113;27 337;43 387;60 555;59 745;57 294
Produkcja warzyw mrożonych;t;.;.;.;.;.;.;.;.;.;125;320;1107;1758;2774;2783;332;1052;2261;2067;1925;3317;5926;6236;9505;13 938;13 219;22 286;30 669;30 825;51 636;51 191;63 685;70 464;79 073;66 035;97 405;70 045;66 789;74 519;88 663;85 293;92 750;89 739;95 604;93 113;142 390;110 169;125 792;125 775;137 680;162 983;175 762;213 674;233 577
Produkcja win i miodów pitnych;tys. l;1894;6399;10 829;15 874;22 088;29 979;39 054;43 046;57 452;68 649;76 774;98 294;118 932;146 623;142 339;146 926;148 329;147 677;160 659;161 020;147 622;153 642;162 079;171 936;180 539;198 216;190 882;203 245;224 880;248 286;283 480;301 412;302 261;321 910;304 385;227 115;180 052;251 371;275 597;267 523;256 650;260 489;255 942;255 643;211 392;297 038;228 508;246 889;249 806;247 369;348 152;427 637;449 846;448 746
Produkcja słodu i ekstraktu słodowego;t;12 200;22 900;33 500;45 600;66 200;78 600;64 100;82 500;88 400;92 439;91 587;100 994;104 683;111 420;120 100;131 400;123 600;142 400;145 300;154 700;150 300;160 800;161 000;167 800;172 224;180 954;201 337;205 537;199 021;202 575;195 255;197 413;231 603;201 896;218 725;209 923;158 525;170 474;144 048;183 546;196 696;198 839;204 204;195 952;189 654;184 111;191 108;163 881;164 955;168 958;160 602;187 943;159 699;214 945
Produkcja piwa;tys. hl;1325;1529;1615;2532;3459;3790;4231;4978;5246;5169,8;5194,7;5691,9;6105,5;6589,7;6731,7;7054,7;6563,2;7254,2;7579,6;7734,8;8296,6;8956,4;9452,6;9991,6;10 371,9;11 211,2;11 809,3;12 787,7;12 442,0;12 901,2;12 317,9;12 069,1;11 377,6;11 293,0;11 155,3;10 513,8;10 617,4;10 305,9;9866,9;11 077,8;11 306,7;11 673,3;12 238,5;12 082,0;11 294,2;13 633,3;14 138,8;12 584,9;14 098,6;15 204,7;16 667,0;19 280,7;21 017,5;23 360,7
Produkcja tłuszczów roślinnych konsumpcyjnych;tys. t;2;0,9;14,1;30,3;37,6;45,3;51,4;42,6;46,7;52,7;55,3;49,6;64,6;79,4;102,2;120,4;140,7;166,5;188;177,8;173,1;176,3;179,8;188,8;213;224;224;243;253;255,6;307,6;277,4;279,2;279,2;275,3;299,2;271,1;256,3;282,6;290,7;307,6;342,3;349,6;354,2;279,5;288,6;355,4;422,8;468;550;568,4;642,4;663;705
margaryny;tys. t;2;0,9;13,9;19;19,2;25;28,2;24,1;25,4;27,9;29,1;22,8;40;52,8;70,9;91;107,4;129,5;146,8;138,6;134,7;136,2;138,5;144,9;165,4;168;171,9;183,7;187;183,2;196,2;185,2;185,1;180,5;184,5;200,6;176,7;162,9;168,6;173;190,6;203,8;220;221,6;179,1;194,2;234,3;276,3;319,8;373,6;368,1;394,6;362,5;367,3
mlecznej i deserowej;tys. t;.;.;.;.;.;.;.;.;.;.;.;2,9;23,6;41,7;64,5;84,4;99,9;121,5;138,9;132,8;129,1;129,7;131,8;137,4;156,5;159,1;163,2;174,3;176,6;171,7;185,1;175,4;176,3;171,9;176;195;168;153;153;157;170;178;191;195;149;160;199;240;276,9;325,9;320,5;332,2;299,9;306
pozostałych;tys. t;.;.;.;.;.;.;.;.;.;.;.;19,9;16,4;11,1;6,4;6,6;7,5;8;7,9;5,8;5,6;6,5;6,7;7,5;8,9;8,9;8,7;9,4;10,4;11,5;11,1;9,8;8,8;8,6;8,5;5,6;8,7;9,9;15,6;16;20,6;25,8;29;26,6;30,1;34,2;35,3;36,3;42,9;47,7;47,6;62,4;62,6;31,7
olejów rafinowanych (na zbyt);tys. t;—;—;—;8,7;13,9;14,6;17,2;11,3;12,5;14,4;14,2;13;12,5;14,1;17,6;17,2;18,9;21,3;24,6;20,6;20,3;22,7;22,6;23,7;27,3;32,1;32,5;37,5;40,2;42,5;51,1;52,4;55,3;60,4;62,7;85,2;79,8;69,4;88,6;93,7;91,8;100,2;104,7;111,7;76,6;70;94,3;124,1;114,8;149,1;170,1;207,7;207,8;246,7
pozostałych;tys. t;—;—;0,2;2,6;4,5;5,7;6;7,2;8,8;10,4;12;13,8;12,1;12,5;13,7;12,2;14,4;15,7;16,6;18,6;18,1;17,4;18,7;20,2;20,3;23,9;19,6;21,8;25,8;29,9;60,3;39,8;38,8;38,3;28,1;13,4;14,6;24;25,4;24;25,2;38,3;24,9;20,9;23,8;24,4;26,8;22,4;33,4;27,3;30,2;40,1;92,7;.
Produkcja cukierków (bez czekoladowanych);t;7100;10 922;13 453;30 098;36 139;51 365;60 805;52 366;72 930;87 971;90 583;94 725;101 799;101 980;92 085;108 651;110 352;119 873;119 212;129 336;114 958;111 385;124 999;129 412;135 085;137 336;142 594;147 914;150 808;143 852;144 383;156 679;165 426;155 798;119 219;98 085;128 882;145 573;161 526;169 126;151 058;154 172;157 580;145 808;88 629;90 164;85 532;87 798;114 459;108 781;119 309;118 548;96 391;73 588
Produkcja czekolady;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8787;9096;9236;8970;10 988;12 401;15 794;18 173;21 476;21 656;16 636;24 183;28 557;33 719;36 186;39 117;41 857;32 425;38 666;43 890;35 662;38 652;19 214;11 034;12 130;10 018;7597;11 718;14 949;13 712;20 013;28 710;38 681;45 572;48 875;59 229;82 175;88 649;91 583;94 359
Produkcja wyrobów czekoladowanych;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19 921;21 079;22 507;23 616;25 035;29 653;33 651;34 143;37 588;39 370;42 072;50 379;62 297;69 843;71 114;83 474;95 119;87 405;86 488;90 153;78 983;92 615;58 264;34 557;32 744;34 632;32 493;32 816;39 218;36 868;46 009;68 065;66 787;82 097;82 132;85 022;102 036;104 399;120 159;117 386
Produkcja kakao;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2801;3606;5841;3845;5504;6093;7097;4646;5297;5398;4610;7295;3225;3065;3193;2575;1584;2277;3160;3227;4331;4410;5391;5198;3280;2845;3065;2285;6746;5186
Produkcja koncentratów obiadowych;t;.;.;.;.;.;.;.;.;.;3890;4197;4005;5122;8146;8183;7533;10 040;12 204;9181;11 275;11 111;13 021;11 818;14 644;15 982;13 515;18 164;19 022;21 992;26 018;26 913;25 574;28 084;26 623;25 397;22 250;21 180;18 768;16 447;18 172;21 283;22 944;24 829;21 716;16 166;11 047;19 010;15 170;25 021;25 650;27 182;34 114;34 859;42 210
Produkcja ekstraktu kawy zbożowej;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;43;719;1117;1676;4243;3844;7355;6910;7379;6443;6640;6298;6676;6706;6506;5835;6202;6895;7372;7022;4607;3485;3782;4107;5183;6874;4674;3606;5635;3138
Produkcja konserw warzywno-mięsnych;t;.;.;.;.;.;.;.;.;.;950;1504;1209;1491;1889;2313;1950;2373;4098;4541;4994;5580;8252;8815;11 654;14 816;14 772;21 784;28 378;42 474;41 491;65 033;77 980;75 680;69 678;75 967;47 710;31 838;33 304;30 747;38 838;40 228;41 935;40 966;40 272;18 169;18 435;16 651;18 637;22 062;22 059;26 345;31 423;31 444;31 590
Produkcja wód mineralnych (wydobycie);mln l;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1517;2036;2185;2164;2217;2154;2200;2152;2293;2443;2731;2840;3003;2671;2229;2710;1911;1827;2045;1833;1966;1829;1648;1699;1529;1736;.;.;.;.;.;.;.;.;.
Produkcja octu w przeliczeniu na 6%;hl;92 000;187 000;240 000;295 000;345 000;404 000;473 000;505 000;474 000;477 000;476 000;484 000;547 000;556 000;515 000;489 000;504 000;577 000;634 000;588 000;615 000;635 000;666 000;683 000;750 000;781 000;772 000;730 000;757 000;800 000;810 000;771 000;834 000;793 000;775 000;789 000;779 000;675 000;637 000;692 000;717 000;696 000;732 000;713 000;539 000;561 772;520 659;431 824;526 092;570 739;420 494;487 750;390 847;525 127
