﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
elektrotechnicznego;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21 939;23 838;22 684;24 423;29 016;29 949;26 440;27 720;30 664;29 425;27 804;26 187;24 702;25 505;28 447;37 121;43 661;44 093;44 695;38 285;35 970;20 667;14 572;15 759;16 424;15 921;19 832;20 343;25 933;24 665
pozostałego;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19 370;20 033;23 553;24 551;25 801;45 707;50 102;51 160;55 405;59 611;71 750;54 158;46 817;50 092;52 535;50 964;51 555;49 308;54 174;57 186;38 082;29 064;25 685;27 829;29 038;31 965;31 753;31 822;38 537;39 044
Produkcja szkła gospodarczego;t;4600;5100;5500;6600;8300;9800;9200;9100;10 400;11 093;12 778;14 200;16 467;15 521;14 710;14 859;15 050;16 281;18 269;19 404;20 410;21 992;24 053;25 770;36 061;41 238;44 624;54 124;56 432;63 298;71 710;81 517;83 864;86 303;89 220;72 231;77 889;84 864;83 260;77 592;66 904;67 113;68 085;69 627;62 022;57 701;52 712;48 184;53 787;63 906;66 517;70 236;74 057;78 936
kryształowego;t;93;148;203;236;280;392;591;663;763;851;867;929;1039;1070;1264;1332;1331;1304;1398;1686;1738;1964;2169;2479;2663;2972;3090;3567;4232;4614;5884;5856;6714;9005;9395;9140;8532;9705;10 769;10 326;10 492;10 507;10 644;10 831;9789;8781;8527;8248;10 442;11 215;10 293;14 524;14 142;12 913
pozostałego;t;4507;4952;5297;6364;8020;9408;8609;8437;9637;10 242;11 911;13 271;15 428;14 451;13 446;13 527;13 719;14 977;16 871;17 718;18 672;20 028;21 884;23 291;33 398;38 266;41 534;50 557;52 200;58 684;65 826;75 661;77 150;77 298;79 825;63 091;69 357;75 159;72 491;67 266;56 412;56 606;57 441;58 796;52 233;48 920;44 185;39 936;43 345;52 691;56 224;55 712;59 915;66 023
Produkcja opakowań szklanych;t;50 000;58 000;62 200;68 900;87 200;114 800;126 400;137 500;183 200;171 200;146 900;161 200;180 600;204 300;227 900;233 500;248 300;264 800;305 300;332 000;344 500;345 200;369 500;389 500;425 203;456 160;449 565;528 139;563 528;635 568;629 474;614 454;619 398;619 861;637 806;608 640;593 284;624 204;673 454;695 405;691 965;691 106;672 064;670 192;576 685;592 348;565 121;623 781;711 798;776 877;810 655;873 493;917 825;927 519
Produkcja porcelany stołowej i galanterii porcelanowej;t;2918;5446;5999;5997;7020;7843;9286;10 226;9978;9942;9534;9268;9561;10 735;11 220;11 481;11 958;12 500;13 380;13 829;15 089;15 347;16 523;17 156;19 751;21 991;23 003;25 167;29 611;32 489;35 341;35 067;35 012;36 085;36 204;33 421;31 293;33 013;33 187;31 701;31 044;36 982;38 108;35 858;33 239;28 274;25 254;28 417;30 937;34 266;37 518;37 710;39 399;40 593
Produkcja porcelany elektrotechnicznej i technicznej;t;1812;3611;5392;5570;7926;11 404;10 139;8706;9762;10 056;10 480;11 137;11 892;12 024;12 642;13 134;13 829;14 276;14 861;15 332;16 989;17 249;19 003;19 483;20 387;18 908;19 088;19 913;20 595;20 584;15 066;14 620;15 055;14 448;17 247;15 566;15 565;15 747;14 766;16 837;15 843;15 569;15 390;14 438;10 219;9030;7293;7961;7171;7029;7736;6582;6031;6041
Produkcja porcelitu stołowego i galanterii porcelitowej;t;649;916;1035;1483;1905;2333;2976;4017;4141;4092;4728;5444;5616;6150;7158;7252;6999;6724;7164;7465;7601;7587;7782;7817;7861;8126;8548;8309;9681;11 291;10 672;11 316;12 687;13 541;13 896;14 851;15 012;15 878;16 695;16 974;15 441;14 618;14 750;13 441;13 169;9942;11 024;11 732;12 713;14 133;14 613;11 768;10 395;11 393
Produkcja kamionki kwasoodpornej i elektrotechnicznej;t;.;.;.;3000;4200;4400;4300;5400;6665;5890;7385;9754;11 867;12 184;9500;10 400;11 400;12 500;13 700;14 900;22 000;26 100;25 000;20 400;18 887;23 933;25 482;30 215;27 724;28 873;31 129;30 833;23 280;28 453;25 721;24 274;23 449;22 917;14 416;14 054;21 325;20 399;23 046;23 326;14 181;10 135;9047;6264;3593;2560;1714;989;657;747
Produkcja fajansu artystycznego;t;1834;2217;2516;3121;5328;7056;6892;6461;6684;6674;5859;5452;5623;5592;5891;6025;6147;6068;6308;6214;5988;5182;4517;4297;4097;4068;3473;3394;2492;876;763;1040;1424;1993;2035;2156;2048;2164;2119;2137;1878;2043;1858;1802;1301;628;—;—;—;—;—;—;—;—
Produkcja wyrobów sanitarnych ceramicznych;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10 562;13 562;15 120;15 231;16 622;20 699;23 844;24 186;27 456;25 773;24 470;22 011;19 311;19 007;20 635;19 649;19 442;18 883;19 011;18 553;17 165;15 424;17 032;19 477;20 075;24 673;29 401;34 678;43 064;48 537
