﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
o grubości 3 mm i powyżej;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;—;—;—;—;—;—;—;—;—;—;—;—;0,6;0,6;0,6;0,4;0,3;0,4;0,4;0,5;0,6;0,5;0,5;0,5;0,5;0,2;0,2;0,1;0,3;0,1;0,2;0,1;0,1;0,1;0,7
elektrotechnicznych;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;.;.;.;.;—;—;—;—;—;4,1;5;4,4;4,8;7,2;4;7,3;26,7;43,1;50,3;51,6;50;50;53,5;53,4;52,6;54,2;53,7;55;55,4;48;37,2;37;40,7;40,3;49,8;47,8;48,1;47;.
Produkcja blach ocynkowanych;tys. t;.;.;.;.;.;.;.;.;.;20,4;.;.;.;.;29,9;73,3;101,6;105,8;118,6;123,1;121,8;126,4;129,5;131,1;133,1;139,5;143,9;146,7;148,2;149,3;224,7;339,4;352,3;342,5;359,6;310,4;308,6;337,7;343,9;346,7;356,4;360,3;354,7;354,4;280;202,7;229,5;248,6;288,6;376,8;353,8;414,3;384,6;411,2
Produkcja blach ocynowanych;tys. t;.;.;.;.;.;.;.;.;.;5,7;5,5;5,2;5,5;5,5;5,6;10,3;18,8;21,2;40;58,8;73,4;86,6;105,5;115,1;125,4;133;138;140,3;141,6;142,2;136,2;127,1;136,9;135,4;132,2;80,6;71,1;91,9;89,5;88,4;95,2;94,8;84,7;83,4;63,4;48,5;60,4;66,1;79;82,9;80,7;56,2;37,3;39,6
Produkcja taśm walcowanych na zimno;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;168;180,5;187,4;196,9;210,4;224,7;244,3;252,4;250,2;262,2;311;305,3;286,5;291,8;314,7;323,2;331,7;340,2;332,6;333,1;192,3;145,1;128;132,9;139,5;159,3;145,8;140,5;112;72,5
Produkcja drutów stalowych ciągnionych (na zbyt);tys. t;23,3;30,9;38,7;48,6;46,1;44,1;53,4;54,9;64,7;68,6;74,3;74,2;80,9;88;98,6;115;132;135;153;168;190;203,6;231,5;243,4;268,5;283,2;314,5;340;350,6;394;425;425;383;372;369;301;251;268;281;295;300;295;297;243;97,7;75,2;81,4;87,6;109,9;255,2;126,7;148,8;206,9;230,2
Produkcja kształtowników giętych;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;22,2;22,5;55,9;121;170,1;183,9;194,6;201;213;216,9;220;213,3;208,4;224,8;234,3;232,3;305,1;333,6;323,6;316,4;222,2;163,6;141,4;136,9;179,5;250,9;200,6;276,1;291,3;332,5
Wydobycie rud miedzi;tys. t;—;—;—;—;69,8;364;561;702,6;902,8;1006;1208,2;1254,8;1369,9;1538,3;1759,7;1943,8;2162,3;2162,1;2246,9;2355,6;2507,8;2499,8;3042,8;4384,6;6552,1;9036,8;11 481,4;12 507,6;13 814,5;16 962,6;19 681,0;21 002,9;23 307,5;25 540,5;26 567,6;22 819,1;27 029,7;28 987,0;29 356,7;29 377,3;29 580,9;29 821,3;29 996,2;26 528,3;24 358,6;25 702,0;24 114,5;27 113,3;26 135,6;26 462,6;27 426,9;26 165,1;27 593,8;28 394,9
Wydobycie rud cynkowo-ołowiowych;tys. t;628;811,7;979;1144,2;1284;1472,6;1743,6;2008;2265,3;2378;2230,8;2029;1951,6;2155,5;2460,7;2364,7;2497;2555,6;2597,3;2688,3;2774;2884,8;3002,9;3220,6;3582,6;3851,3;3987,8;4075;4153,9;4597,9;4939,7;5250,6;5503,3;5497,3;5510,2;5035,3;5340,6;5298;5442,2;5334,4;5322;5300,1;5352,1;5320,5;4875,1;4848,6;5017,2;4816,9;4870,5;5039,6;5029,6;4938,5;5051,5;5067,7
Produkcja miedzi elektrolitycznej;t;—;—;1400;7700;10 500;8162;9955;12 479;17 014;15 722;20 300;19 900;17 400;17 500;21 737;22 200;24 100;29 600;36 600;37 380;39 847;42 172;43 606;54 708;72 187;92 734;131 453;156 402;194 506;248 608;270 107;306 590;332 216;335 814;357 268;327 178;348 027;360 137;372 374;387 049;387 874;390 223;400 560;390 268;346 083;378 479;387 010;404 170;405 093;406 708;424 708;440 644;446 837;470 494
Produkcja cynku;t;46 000;57 000;71 000;108 300;114 000;117 800;124 900;138 400;142 100;156 200;153 000;159 000;163 000;168 000;175 600;182 000;181 000;181 000;187 000;190 400;193 000;196 100;202 500;207 500;208 914;220 053;228 297;234 722;233 120;243 130;236 665;228 237;222 041;209 246;217 485;167 118;165 352;170 252;176 051;180 141;179 172;176 526;173 566;163 727;132 131;126 067;134 594;149 107;157 618;166 421;165 480;172 919;178 016;177 804
elektrolitycznego;t;11 000,0;14 000,0;19 000,0;18 800,0;21 900,0;23 400,0;27 300,0;39 800,0;41 300,0;50 400,0;56 200,0;59 200,0;66 600,0;70 600,0;73 800,0;78 900,0;82 100,0;83 500,0;87 300,0;90 000,0;91 800,0;93 500,0;96 600,0;98 000,0;102 268,0;105 356,0;106 642,0;109 303,0;112 610,0;124 942,0;135 179,0;134 747,0;130 916,0;125 759,0;122 556,0;96 995,0;80 478,0;81 158,0;83 726,0;87 049,0;86 204,0;85 508,0;85 514,0;88 447,0;82 947,0;82 094,0;84 326,0;88 457,0;88 961,0;92 685,0;93 458,0;94 448,0;97 632,0;96 616,0
pozostałego;t;35 000;43 000;52 000;89 500;92 100;94 400;97 600;98 600;100 800;105 800;96 800;99 800;96 400;97 400;101 800;103 100;98 900;97 500;99 700;100 400;101 200;102 600;105 900;109 500;106 646;114 697;121 655;125 419;120 510;118 188;101 486;93 490;91 125;83 487;94 929;70 123;84 874;89 094;92 325;93 092;92 968;91 018;88 052;75 280;49 184;43 973;50 268;60 650;68 657;73 736;72 022;78 471;80 384;81 188
Produkcja ołowiu - Pb technicznie czystego;t;11 000,0;13 000,0;19 000,0;21 500,0;22 200,0;23 100,0;26 000,0;29 500,0;31 900,0;34 150,0;35 200,0;35 700,0;35 800,0;38 700,0;39 700,0;39 800,0;40 700,0;38 900,0;41 500,0;41 400,0;43 500,0;44 800,0;48 700,0;50 700,0;54 469,0;60 217,0;65 334,0;68 437,0;71 643,0;76 249,0;80 607,0;85 394,0;86 736,0;84 197,0;81 991,0;68 955,0;78 801,0;81 029,0;83 374,0;87 291,0;88 287,0;89 826,0;90 718,0;78 199,0;64 812,0;50 776,0;53 693,0;62 305,0;61 248,0;66 421,0;65 983,0;64 732,0;64 333,0;63 985,0
Produkcja aluminium technicznie czystego hutniczego;t;—;—;—;—;—;—;—;—;5200;20 371;21 800;20 400;22 400;22 800;26 000;47 600;48 100;46 600;47 800;47 300;55 200;92 400;93 500;96 800;98 759;100 395;101 664;101 579;102 239;102 914;103 460;103 917;100 187;96 595;95 127;66 016;42 696;44 413;45 950;47 000;47 524;47 539;47 720;47 801;45 974;45 793;43 628;46 942;49 509;55 728;51 924;53 614;54 168;50 974
Produkcja srebra;t;.;.;.;.;.;.;.;.;.;22,7;40,2;27,9;25,5;27,4;35;43,8;47,3;52,5;51,9;66,5;90,8;86,8;108;147;231;276;361;429;486;549;590;644;680;702;766;640;657;678;744;831;829;831;1063;1003;832;899;798;767;1064;1001;935;1038;1108;1100
