﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Przerób ropy naftowej;tys. t;118;166,7;233,5;246,1;270,7;395,2;534,1;568,9;633,3;686,4;723,3;745;785;829;876,3;930,1;1292;1442;1933;3516,5;3705,4;4097,6;5720;6849,9;7470,6;8331;9982,8;10 875,6;11 416,0;13 515,5;15 517,0;16 485,8;16 970,3;16 617,2;16 125,7;13 585,2;13 405,1;13 656,4;13 646,5;14 067,3;14 298,1;14 305,8;15 007,9;15 238,2;12 866,6;11 733,7;12 583,9;13 372,8;13 447,8;13 443,7;14 602,6;14 884,5;16 191,3;16 783,5
Produkcja benzyn;t;34 100;47 000;65 500;62 200;49 200;58 900;84 800;61 500;64 000;70 000;68 900;85 900;93 600;111 000;120 900;139 000;248 000;305 000;385 000;708 000;819 100;1 013 300;1 480 900;1 499 100;1 623 868;1 862 029;2 125 503;2 188 978;2 067 819;2 386 867;2 640 890;3 354 831;3 529 700;3 328 617;3 282 170;2 784 725;3 030 684;3 595 216;3 600 568;3 770 789;3 872 749;4 038 861;4 339 111;4 407 073;3 586 187;3 307 127;4 091 060;4 546 542;4 698 275;5 214 736;5 131 045;5 212 651;5 357 691;5 345 595
Produkcja gazoliny surowej;t;3100;4800;10 100;12 500;15 000;16 400;16 700;17 500;20 000;20 384;19 500;18 600;18 400;18 400;19 058;20 200;21 400;19 700;20 300;23 559;26 548;24 361;24 430;25 159;26 563;27 030;27 015;33 195;40 632;29 833;21 095;16 519;14 482;12 976;10 928;8847;7408;5616;4632;4341;4347;4871;4590;3765;3300;2366;2036;2795;3244;3542;3148;3042;3613;10 160
Produkcja nafty;t;17 400;30 000;37 300;45 200;34 900;43 900;59 500;85 100;83 300;86 000;104 000;116 000;111 000;115 000;101 400;80 900;28 000;21 100;16 000;31 300;20 300;19 000;41 800;122 500;148 898;70 972;160 448;180 569;157 384;143 368;146 130;153 953;155 000;160 150;224 223;181 011;150 060;143 242;167 397;190 272;171 090;161 948;176 014;135 529;59 404;8398;11 384;17 241;11 527;12 033;20 001;23 057;18 669;11 903
Produkcja gazów płynnych z destylacji ropy naftowej;t;.;.;.;.;.;.;.;.;.;3555;4016;4226;4430;4289;4505;4144;3780;3943;3767;14 603;23 023;30 493;49 050;75 812;92 394;86 608;116 812;129 374;124 323;148 401;188 153;201 784;223 100;209 692;211 043;193 423;253 546;179 920;174 819;189 011;203 737;201 810;212 610;220 690;179 952;212 107;168 183;189 281;190 376;208 627;181 094;181 515;224 739;297 493
Produkcja paliw płynnych do silników wysokoprężnych;t;26 100;27 700;39 300;47 800;55 000;86 700;97 400;125 000;131 000;133 900;145 000;171 000;197 000;204 000;252 000;281 000;418 000;478 000;588 000;932 000;1 097 900;1 263 600;1 688 000;1 940 900;2 238 512;2 623 225;3 024 840;3 308 833;3 558 448;4 258 585;4 875 214;5 097 878;5 353 900;5 192 646;5 093 204;4 249 362;4 403 096;4 567 418;4 648 779;4 832 633;4 856 151;4 981 367;5 172 058;4 861 284;3 905 046;3 693 706;4 332 728;4 919 520;5 087 162;5 183 222;5 277 218;5 286 819;6 031 290;6 040 635
Produkcja olejów opałowych;t;.;.;.;.;3600;.;.;.;.;125 800;118 200;57 900;50 200;56 900;65 000;68 800;194 000;227 000;470 000;1 269 500;1 108 300;1 114 800;1 756 500;2 046 600;2 000 420;2 260 896;2 987 705;3 379 805;3 215 546;3 985 935;4 998 415;4 374 001;4 322 000;4 463 092;3 937 524;3 198 279;2 755 971;2 504 432;2 366 943;2 434 437;2 404 782;2 321 193;2 457 162;2 955 912;2 883 139;2 654 737;2 577 788;2 728 444;2 745 771;2 776 283;3 289 348;3 743 218;4 129 060;4 757 807
Produkcja olejów smarowych i specjalnych;t;.;.;.;.;53 600;.;.;.;.;127 100;155 000;182 000;167 000;183 000;165 000;173 000;178 000;203 000;200 000;216 000;217 000;223 000;211 000;210 000;302 734;340 235;370 926;392 181;391 946;419 680;436 378;468 285;508 000;519 557;505 399;444 540;439 428;450 520;465 633;506 536;534 157;523 263;537 116;500 608;317 479;205 731;211 133;222 908;232 934;239 562;234 249;207 850;254 568;247 472
Produkcja asfaltu;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;263;.;.;.;.;549;591,1;643,9;879,5;1041,1;1109,9;1143,8;1158,4;1389;1283,6;1326,5;1043,6;1072,2;1220;1172,6;1133,4;1259,7;1236,4;1289,6;1158,9;721,9;548;578,2;527,1;652;615;695,1;710,3;714,5;827,7
Produkcja energii elektrycznej;mln kWh;5840;6700;7600;8300;9421;10 507,0;11 984,0;13 679,0;15 469,0;17 751,0;19 495,0;21 157,0;23 962,0;26 380,0;29 307,3;32 254,0;35 383,0;36 962,0;40 611,0;43 800,8;47 385,2;51 256,6;55 520,3;60 052,6;64 532,4;69 886,9;76 475,1;84 302,3;91 604,4;97 168,7;104 101,0;109 362,0;115 556,8;117 468,0;121 876,5;114 994,8;117 604,9;125 847,4;134 792,0;137 717,3;140 298,1;145 834,6;144 343,9;145 472,1;136 343,4;134 729,3;132 726,1;133 701,9;135 357,8;139 038,2;143 185,0;142 788,9;142 817,6;142 119,1
w elektrowniach zawodowych;mln kWh;.;.;.;.;.;.;.;.;.;.;14 847,0;16 049,0;18 003,0;20 014,0;22 437,0;25 322,0;28 227,0;30 371,0;34 155,0;37 605,0;.;.;.;.;56 046,9;61 106,4;67 425,4;75 022,5;81 920,5;88 084,4;94 247,4;98 956,0;105 306,7;106 920,8;111 531,4;106 458,2;108 929,9;116 808,0;125 687,8;128 891,0;131 588,4;137 412,6;135 932,9;136 900,4;128 201,0;126 843,8;124 575,6;125 299,5;126 852,6;130 612,1;134 894,0;134 666,4;135 162,3;134 586,8
cieplnych;mln kWh;3001;.;.;.;.;.;.;.;.;12 352,0;.;.;.;.;21 780,0;.;.;.;.;36 693,0;.;42 615,0;.;.;54 161,2;59 187,1;65 491,5;73 172,6;79 465,0;85 709,5;92 149,7;96 561,9;102 919,9;104 463,8;108 252,0;103 444,4;106 324,3;113 487,0;122 335,5;124 996,7;127 805,8;133 359,5;131 733,1;133 151,1;124 899,2;123 451,2;121 029,8;121 766,1;123 129,2;126 805,2;131 088,0;130 959,9;130 951,2;130 444,8
wodnych;mln kWh;.;.;.;.;.;.;.;.;.;.;.;.;.;.;657;.;.;.;.;912;.;.;.;.;1885,7;1919,3;1933,9;1849,9;2455,5;2374,9;2097,7;2394,1;2386,8;2457;3279,4;3013,8;2605,6;3321;3352,3;3894,3;3782,6;4053,1;4199,8;3749,3;3301,8;3392,6;3545,8;3533,4;3723;3806,6;3805,8;3706,2;4210,8;4141,9
w elektrowniach niezawodowych;mln kWh;.;.;.;.;.;.;.;.;.;.;4648;5108;5959;6366;6870,3;6932;7156;6591;6456;6195,8;.;.;.;.;8485,5;8780,5;9049,7;9279,8;9683,9;9084,3;9853,6;10 406,0;10 250,1;10 547,2;10 345,1;8536,6;8675;9039,4;9104,2;8826,3;8709,7;8422;8411;8571,7;8142,4;7885,5;8150,5;8402,4;8505,2;8426,1;8291;8122,5;7655,3;7532,3
z elektrowni na węglu brunatnym i produktach z węgla brunatnego;mln kWh;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1266;—;—;—;—;11 069,0;—;—;—;—;20 590,1;22 084,3;24 981,8;25 615,4;35 732,0;26 869,7;25 761,2;25 796,6;25 919,9;23 953,0;23 520,9;22 704,5;24 529,0;29 061,3;34 558,8;39 603,4;46 180,0;49 613,0;52 284,0;53 491,5;51 992,6;52 899,2;51 804,4;52 546,7;51 292,1;50 739,7;50 859,4;50 820,5;51 796,9;50 741,1
Produkcja energii cieplnej;TJ;.;.;.;.;.;.;.;.;.;25 347;33 118;36 266;47 956;64 954;76 539;98 013;135 862;178 274;219 723;286 596;335 403;321 286;352 551;377 855;398 178;425 329;457 150;492 341;517 335;535 203;587 521;610 896;658 459;686 234;714 753;651 476;652 856;661 766;698 527;720 624;695 913;733 169;716 426;684 285;630 809;622 356;591 077;678 931;651 011;674 011;719 354;683 763;641 183;590 197
