﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja bezwodnika kwasu ftalowego;t;—;—;—;—;—;—;—;0;100;300;1691;2345;2766;3208;3510;4565;8174;9389;9360;12 556;15 390;17 702;17 477;18 880;18 815;17 726;22 522;26 079;32 039;34 812;36 231;33 621;32 854;33 704;33 000;32 386;31 630;30 711;32 410;35 180;39 181;39 204;42 872;42 331;28 500;21 545;17 460;17 050;25 220;28 392;28 950;30 451;19 655;19 670
Produkcja kwasu octowego w przeliczeniu na 100%;t;—;—;—;—;—;—;—;235;981;3180;4931;7569;9418;10 353;11 981;11 900;12 997;13 643;14 729;16 479;19 399;19 540;23 401;25 803;27 816;22 582;26 202;26 186;27 882;29 478;30 937;29 327;25 139;24 621;25 871;21 142;18 993;18 968;20 076;18 371;19 985;21 239;22 026;22 460;20 131;23 468;18 603;19 864;19 588;19 628;17 474;12 538;8440;4358
Produkcja kaprolaktamu;t;—;—;—;—;—;.;.;.;.;470;.;.;.;.;5292;6181;7810;10 113;13 987;17 508;20 297;22 410;24 903;25 010;26 767;30 577;36 139;42 723;47 302;55 959;61 454;78 414;85 542;83 583;86 632;80 212;75 744;89 058;87 142;87 914;89 724;86 950;96 617;100 087;97 288;103 652;104 681;103 169;106 274;126 276;127 769;130 294;131 310;139 588
Produkcja fenolu;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;16 289;21 893;27 333;29 514;30 208;32 239;35 789;38 752;44 064;47 430;54 082;58 031;63 108;66 493;72 790;73 519;70 619;64 898;67 297;68 546;67 652;64 466;66 388;69 922;70 294;65 789;67 930;65 441;67 043;62 953;44 076;24 897;33 257;24 428;35 670;42 624;46 615;46 672;47 310;48 459
Produkcja naftalenu;t;.;.;.;.;.;.;.;.;.;5269;5750;6300;6239;7022;7780;.;.;.;.;8917;.;.;.;.;13 029;12 656;12 325;13 849;14 147;15 338;15 275;15 365;13 735;12 364;10 009;7360;7934;8482;11 225;8145;8445;8902;10 208;8981;4619;3205;4186;1754;566;—;295;6;—;—
Produkcja barwników organicznych syntetycznych;t;1591;2103;3100;3772;4162;4520;4510;5370;5780;6276;6499;7065;7939;8682;9783;10 754;11 402;12 867;13 347;15 099;16 552;17 231;17 869;19 603;20 980;22 497;23 585;24 466;24 562;23 658;25 781;25 679;26 632;25 766;25 113;21 297;20 192;22 383;22 297;18 152;15 899;17 042;18 107;18 213;10 089;7093;7788;7032;6786;5199;5556;4388;3691;3641
Produkcja pestycydów (środków ochrony roślin i innych - bez koncentratów);t;.;.;.;2800;3800;5800;8000;8300;15 200;22 800;24 600;27 500;27 500;24 600;69 300;88 900;87 700;82 500;89 700;101 700;98 800;94 700;64 300;71 600;59 902;50 338;53 963;56 100;70 662;70 099;67 230;67 878;59 577;53 898;34 496;36 236;48 024;53 696;46 367;37 422;33 843;40 592;47 744;45 554;19 680;16 954;21 827;22 273;20 745;24 232;27 735;27 881;29 930;30 219
Produkcja sadz technicznych;t;.;.;.;.;4000;5100;5500;5800;6100;8243;9908;10 198;10 880;14 791;15 913;19 555;25 921;25 476;26 758;27 843;27 164;27 276;27 774;27 185;33 059;35 594;35 914;37 488;39 253;49 718;54 284;53 532;55 240;53 466;50 453;50 603;47 309;48 559;49 967;48 543;49 415;46 364;45 691;45 202;22 652;17 141;25 877;26 433;25 537;23 258;24 831;24 966;22 645;18 734
Produkcja tworzyw sztucznych;t;179;257;706;1676;2026;5321;3015;7393;8843;9804;11 300;15 000;20 800;28 800;40 100;58 500;66 400;69 300;84 900;91 100;104 000;129 000;163 000;199 000;223 625;254 416;294 207;327 568;389 321;421 308;446 354;461 638;467 495;440 083;548 550;475 843;451 081;535 195;600 541;603 230;632 071;640 857;722 525;721 121;626 892;595 957;649 609;671 338;651 223;734 986;804 163;860 333;939 881;1 009 905
kondensacyjnych;t;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;73 769;85 687;97 628;105 245;119 993;123 934;138 630;131 235;122 500;126 499;135 492;110 299;95 383;123 679;144 693;145 286;153 317;157 185;150 368;142 188;80 232;64 171;66 150;71 931;70 529;89 371;105 834;97 203;172 840;221 967
tłoczyw do prasowania (fenoplastów);t;—;—;—;778;1138;1637;473;2335;2345;2691;3677;4387;4906;7088;8610;10 273;12 135;12 555;13 799;13 389;12 829;15 476;16 307;15 496;16 851;18 765;20 468;20 629;20 556;19 563;19 127;16 563;9308;10 009;10 046;7470;5797;6272;6368;5662;5992;6938;6789;6272;2692;2351;1837;2055;1377;1590;1966;1856;1475;951
tłoczyw (aminoplastów);t;—;—;—;—;—;—;117;209;272;195;311;391;611;850;1425;2177;2215;1859;1901;2642;2240;2943;3165;3416;3461;3653;3758;4089;4405;4947;4722;3371;4039;3742;3657;3129;3251;3336;2429;2580;2569;2635;2479;2419;1060;643;696;585;545;456;349;287;219;56
tworzyw poliestrowych;t;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9111;11 122;12 777;14 789;20 125;20 828;22 061;21 632;21 696;21 690;21 895;15 216;11 896;12 452;18 109;16 951;16 846;17 896;16 421;17 739;12 867;10 733;12 881;19 971;23 767;39 688;45 397;35 321;38 191;101 841
tworzyw ftalowych (alkidali);t;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;30 033;35 216;43 719;47 503;52 232;56 593;60 691;56 488;54 156;58 081;61 945;53 464;45 827;56 541;62 821;68 270;69 230;67 180;66 420;60 019;30 449;25 485;28 486;28 122;26 261;26 823;30 415;30 176;26 254;21 468
pozostałe;t;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14 313;16 931;16 906;18 235;22 675;22 003;32 029;33 181;33 301;32 977;37 949;31 020;28 612;45 078;54 966;51 823;58 680;62 536;58 259;55 739;33 164;24 959;22 250;21 198;18 579;20 814;27 707;29 563;106 701;97 651
polimeryzacyjnych;t;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;131 758;147 029;173 500;197 026;240 004;260 657;268 907;284 859;296 555;262 884;361 298;322 886;313 138;361 371;403 203;403 059;419 223;426 717;510 083;518 560;501 573;485 900;527 405;540 807;522 183;572 857;623 383;680 516;675 545;706 569
polietylenu;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;5;2;—;1;2;935;6039;12 023;15 223;16 724;18 946;33 442;43 226;46 486;47 810;48 522;47 819;46 331;43 058;110 826;111 258;118 139;129 430;140 590;141 890;147 624;145 353;165 704;159 493;158 527;149 865;163 088;162 178;141 898;151 122;163 459;159 743;173 416;133 620
polichlorku winylu;t;—;—;—;—;—;—;—;—;—;—;—;166;4207;7503;13 408;14 411;15 602;16 371;25 669;26 383;26 826;33 492;50 181;75 189;85 006;93 822;102 080;108 512;110 467;124 426;124 946;122 246;125 469;101 908;118 572;92 887;79 493;106 235;128 225;126 314;140 862;144 952;188 593;198 796;203 405;194 808;219 963;212 143;202 273;225 267;254 378;285 269;266 042;259 352
polistyrenu;t;—;—;—;—;—;—;—;—;—;—;—;—;413;2034;3656;6591;7374;7119;7830;8333;8601;10 513;14 010;14 045;20 175;22 082;19 875;22 201;30 561;32 029;32 499;33 769;33 862;32 941;33 906;22 564;21 772;20 197;23 636;23 169;22 547;21 573;22 727;23 258;19 096;20 826;25 750;31 509;33 822;46 243;46 479;48 940;51 477;70 644
pozostałe;t;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9853;12 179;18 103;23 087;52 490;56 392;62 940;81 025;90 893;84 977;97 994;96 177;93 734;105 509;110 752;111 686;108 190;114 839;133 059;137 013;120 545;120 401;118 604;134 977;144 190;150 225;159 067;186 564;184 610;242 953
pozostałe;t;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;18 098;21 700;23 079;25 297;29 324;36 717;38 817;45 544;48 440;50 700;51 760;42 658;42 560;50 145;52 645;54 885;59 531;56 955;62 074;60 373;45 087;45 886;56 054;58 600;58 511;72 758;74 946;82 614;91 496;91 496
Produkcja kauczuków syntetycznych i ich lateksów;t;—;—;—;—;—;—;—;—;—;—;—;—;—;5031;20 169;31 025;33 251;35 964;39 964;39 221;37 478;40 065;40 795;48 147;61 661;66 169;78 055;93 790;100 532;107 872;116 880;119 356;125 598;129 939;117 866;111 091;99 864;119 724;119 391;126 067;116 052;116 706;127 404;125 112;103 071;79 534;88 861;75 129;83 426;104 678;106 480;100 683;94 971;97 450
Produkcja włókien chemicznych;t;8710;11 894;18 062;22 689;24 822;27 309;31 944;41 315;48 295;53 953;59 128;63 117;66 218;69 079;77 805;83 038;85 190;88 280;95 278;103 863;109 473;116 302;124 002;130 497;138 113;150 938;162 238;177 919;195 759;219 542;238 513;248 549;251 993;244 458;256 402;204 719;203 415;230 268;240 350;240 952;233 435;237 469;245 204;237 881;149 891;105 650;110 920;114 234;137 573;136 993;117 482;118 546;94 617;88 477
